,CMA1,CMA2,CMA3,CMA4,CMA5,CMA6,CK1,CK2,CK3,CK4,CK5,CK6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,1457,88,207,64,241,258,321,221,227,996,971,360,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501058,f__Rhizobiaceae_A_501058,g__Rhizobium_A_501058,Unassigned
ASV2,301,805,784,458,481,370,578,462,412,374,555,148,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV3,8,35,11,839,0,0,142,465,11,38,148,2559,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_L_486704,Unassigned
ASV4,0,0,0,8,0,0,73,25,31,98,210,3367,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_650611,f__Pseudomonadaceae,g__Pseudomonas_E_647464,Unassigned
ASV5,250,299,263,209,704,406,212,206,140,204,321,87,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV6,41,225,940,123,9,28,345,705,352,123,277,23,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV7,515,18,7,16,62,116,140,518,362,50,134,1317,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Polaromonas,Unassigned
ASV8,0,0,29,16,0,0,46,164,3421,27,18,14,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_650611,f__Pseudomonadaceae,g__Pseudomonas_E_647464,Unassigned
ASV9,245,277,152,412,160,190,294,277,275,163,175,141,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV10,50,51,38,0,1585,198,29,48,64,70,133,99,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV11,397,0,0,0,12,85,280,62,62,984,305,47,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Afipia,Unassigned
ASV12,519,0,0,22,105,238,116,107,149,629,232,110,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter_487784,Unassigned
ASV13,246,245,388,170,309,144,35,64,42,268,65,239,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Parablastomonas,s__Parablastomonas arctica
ASV14,344,49,17,42,34,67,222,148,213,586,366,129,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV15,213,214,176,285,70,121,289,298,263,186,112,71,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV16,163,98,71,37,93,96,130,94,65,732,416,57,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,s__Mesorhizobium_F_498388 qingshengii
ASV17,106,110,116,90,84,53,182,118,119,575,334,36,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV18,212,13,33,34,156,202,84,86,97,573,251,101,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_502138,f__Devosiaceae,g__Devosia_A_501803,Unassigned
ASV19,77,42,64,36,131,35,191,100,146,213,794,53,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV20,250,105,90,50,55,55,126,82,124,273,365,78,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV21,176,0,0,0,0,83,153,88,144,605,253,67,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_L_486704,Unassigned
ASV22,23,0,0,0,31,0,104,0,110,398,182,691,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,s__Asticcacaulis benevestitus
ASV23,7,0,8,10,171,30,162,537,373,163,144,7,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium_A_485959,s__Sphingobium_A_485959 limneticum
ASV24,768,69,168,26,134,63,0,19,0,7,0,58,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Polyangiales,Unassigned,Unassigned,Unassigned
ASV25,97,204,127,190,50,82,205,210,109,141,113,77,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV26,336,172,151,218,59,84,56,36,24,85,118,58,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_B_302584,f__DSM-18226_301387,g__Neobacillus,Unassigned
