,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R5_1,R5_2,R5_3,R5_4,R5_5,R5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,363,369,811,547,1351,1587,3039,3224,822,1395,2126,827,2401,2287,500,88,133,163,501,472,489,1112,816,1072,411,449,280,1262,208,881,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Dokdonella_A,s__Dokdonella_A soli
ASV2,446,466,662,880,1185,795,803,954,1365,1684,1011,1539,481,1216,312,545,1229,1247,411,246,344,342,436,245,1400,786,533,1156,649,339,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV3,0,818,58,676,1181,127,1255,1835,647,2217,1344,497,0,744,802,632,1320,1387,417,87,350,259,1052,856,325,343,431,473,139,323,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Polaromonas,s__Polaromonas ginsengisoli
ASV4,782,54,125,1199,600,691,370,117,1474,103,368,2012,1355,2040,836,949,159,264,2826,297,84,110,342,0,914,192,1021,253,427,310,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV5,0,62,590,22,77,26,1381,784,671,1556,1370,651,654,708,236,43,286,264,17,1472,1181,800,620,1812,194,136,112,1343,33,158,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,Unassigned,Unassigned,Unassigned,Unassigned
ASV6,0,86,273,132,140,144,1218,1074,79,1285,952,198,510,298,0,122,0,71,275,881,1318,1752,1563,1621,138,403,425,582,124,194,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501058,f__Rhizobiaceae_A_501058,g__Rhizobium_A_501058,Unassigned
ASV7,364,419,828,12,957,1056,42,14,101,4,36,205,219,541,558,353,182,311,706,515,338,905,232,532,1755,1289,1267,1462,800,795,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV8,184,902,53,155,758,447,1138,877,243,900,915,182,504,521,194,755,299,219,560,292,419,389,763,405,458,258,791,758,161,427,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV9,16,16,0,78,0,0,279,2049,53,291,1486,2,49,75,0,114,79,39,235,64,1483,1354,446,1779,258,409,309,259,88,1674,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Polaromonas,Unassigned
ASV10,334,104,0,203,129,473,967,740,281,738,803,617,702,361,257,77,154,374,127,408,787,482,690,380,387,516,252,295,75,620,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,Unassigned
ASV11,1318,324,347,542,156,696,313,208,399,186,368,384,2124,931,224,53,891,165,63,295,234,250,187,120,130,124,72,309,234,224,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV12,73,867,790,524,417,394,32,8,397,45,66,288,88,0,366,418,419,800,1446,13,16,24,45,0,371,84,826,526,2536,115,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Polyangiales,Unassigned,Unassigned,Unassigned
ASV13,334,329,175,336,345,632,407,491,1515,280,485,1148,452,308,340,146,18,77,153,182,571,286,320,419,386,340,467,129,9,426,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Parablastomonas,s__Parablastomonas arctica
ASV14,47,334,34,184,171,74,5,165,212,8,87,291,161,561,313,134,919,390,3043,593,103,223,101,167,358,412,856,684,366,220,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597432,f__Rhodocyclaceae,g__Desulfobacillus,Unassigned
ASV15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,634,657,3038,1241,1990,2281,7,0,65,0,10,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,g__Herminiimonas_567463,Unassigned
ASV16,103,60,90,0,54,0,19,0,0,0,41,0,394,79,0,53,0,37,58,32,1789,1643,1096,1289,142,117,554,1069,83,351,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501058,f__Rhizobiaceae_A_501058,g__Rhizobium_A_501058,Unassigned
ASV17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,3995,567,147,3047,185,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574934,Unassigned,Unassigned
ASV18,106,173,308,120,140,0,2184,1092,0,1635,1153,198,125,253,322,0,0,0,14,0,24,84,49,0,8,113,8,13,71,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Variovorax,Unassigned
ASV19,199,210,222,567,509,136,624,515,242,755,535,276,156,381,0,512,281,75,170,338,264,256,483,421,132,104,77,28,0,1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,s__Mesorhizobium_F_498388 qingshengii
ASV20,12,91,235,30,105,62,791,943,48,434,1054,0,210,275,359,80,59,0,56,303,232,239,455,462,22,30,351,1053,101,509,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales_400645,f__Streptomycetaceae_400641,g__Streptomyces_G_399870,Unassigned
ASV21,183,56,1245,0,158,1653,11,5,59,0,195,511,1579,1881,522,0,0,0,333,36,14,14,0,40,132,25,4,70,123,19,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,s__Rudaea cellulosilytica
