,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S3_1,S3_2,S3_3,S3_4,S3_5,S3_6,S4_1,S4_2,S4_3,S4_4,S4_5,S4_6,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,443,342,517,425,589,418,447,421,191,366,641,378,573,537,190,536,428,367,661,805,589,615,586,610,288,395,375,310,524,377,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV2,244,227,296,318,303,199,188,174,163,157,249,270,187,208,84,323,223,210,564,442,420,544,510,414,131,225,165,86,235,220,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV3,341,119,207,296,491,320,305,492,387,271,188,204,206,165,101,233,240,395,119,80,115,84,165,108,124,188,88,174,74,126,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,s__Gp7-AA6 sp003222385
ASV4,95,165,142,116,70,94,192,120,87,96,124,54,104,307,146,291,178,126,414,311,111,178,84,207,532,443,297,313,365,310,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,Unassigned,Unassigned
ASV5,139,180,191,186,131,72,262,209,393,201,302,134,131,199,101,153,139,211,112,206,163,109,110,107,427,229,217,357,222,345,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,Unassigned,Unassigned
ASV6,176,125,212,163,169,202,145,176,98,118,167,134,150,169,121,213,190,157,285,257,165,241,211,256,123,169,147,115,222,184,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV7,143,127,129,100,94,225,208,172,88,89,107,172,147,143,131,180,242,198,220,319,477,295,332,347,94,165,97,133,155,164,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__Palsa-1233,Unassigned
ASV8,99,120,109,141,138,111,182,196,136,132,120,118,174,179,114,288,189,235,291,240,390,235,291,260,93,122,114,135,167,187,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__AG11,Unassigned
ASV9,98,104,110,79,123,126,77,99,156,85,139,148,128,102,192,84,122,121,100,82,235,116,131,123,84,72,100,86,103,131,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__GWC2-73-18,s__GWC2-73-18 sp001794945
ASV10,76,115,82,79,91,86,91,105,127,85,78,135,87,115,136,154,128,124,133,105,107,109,135,107,135,131,123,118,120,104,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,Unassigned,Unassigned
ASV11,89,83,85,85,68,103,78,122,163,94,92,85,114,92,120,84,121,82,81,69,82,84,59,64,105,71,112,123,88,138,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Bradyrhizobium,Unassigned
ASV12,60,143,80,109,110,81,99,115,49,48,79,93,62,99,165,91,95,96,91,87,69,95,107,127,75,142,88,71,118,101,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Palsa-187,s__Palsa-187 sp902826605
ASV13,56,82,83,85,90,72,67,124,94,49,53,147,95,87,43,80,152,138,64,82,78,91,87,126,93,107,111,68,88,106,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__QHBO01,f__QHBO01,g__CF-167,s__CF-167 sp005879775
ASV14,67,51,76,74,77,97,70,115,62,68,79,69,67,97,108,54,84,90,148,78,104,94,88,66,83,121,84,91,89,87,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV15,23,107,43,46,69,63,60,135,71,70,32,88,71,87,79,105,119,87,87,174,57,131,175,228,54,54,98,36,91,95,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_426821,g__OLB17_426821,s__OLB17 sp001567505
ASV16,42,99,47,54,48,49,46,61,50,59,66,57,71,91,94,88,68,81,102,78,91,115,85,83,83,100,69,64,98,72,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,Unassigned,Unassigned
ASV17,178,76,101,185,141,60,67,95,60,63,142,95,50,56,48,78,60,97,47,51,21,30,30,62,51,62,81,48,50,63,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia_401430,o__Acidimicrobiales,f__Ilumatobacteraceae,Unassigned,Unassigned
ASV18,115,94,86,109,107,77,66,85,62,72,81,91,79,66,55,105,73,99,66,60,28,45,47,60,59,69,64,82,52,49,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__PSRF01,s__PSRF01 sp002427845
ASV19,79,94,67,79,83,76,56,73,43,59,61,57,68,66,72,77,83,93,82,72,54,59,72,59,69,102,81,87,80,74,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__Gp1-AA122,s__Gp1-AA122 sp003225055
ASV20,76,98,101,55,87,86,81,99,52,70,76,67,62,103,96,87,79,61,50,69,92,97,86,71,21,34,0,36,25,26,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV21,95,48,87,62,76,68,53,58,23,43,79,50,67,55,17,61,47,34,143,126,120,119,119,111,40,58,72,42,74,49,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV22,113,78,126,147,124,150,67,60,19,58,101,29,42,54,19,85,67,21,22,56,9,20,23,13,46,47,98,14,154,102,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV23,104,89,65,143,64,64,71,66,51,79,91,90,67,81,35,78,94,72,44,36,16,32,21,36,41,77,63,51,65,82,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__UBA11740,s__UBA11740 sp003168335
ASV24,42,48,62,59,39,40,32,56,57,31,29,45,77,57,31,76,91,46,162,82,84,120,75,84,46,129,58,52,107,67,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Pseudolabrys_502538,Unassigned
ASV25,47,65,70,62,81,61,86,91,54,65,80,126,65,101,83,112,64,80,39,26,29,26,21,15,82,66,86,74,56,76,d__Bacteria,p__Nitrospirota_A_437815,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira_C,Unassigned
ASV26,66,60,68,69,76,61,54,49,29,30,73,65,58,85,39,107,73,46,66,95,50,73,66,100,47,69,63,40,71,44,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
ASV27,70,49,53,67,76,54,55,73,94,37,66,75,53,56,41,71,87,47,74,66,184,99,102,87,22,56,26,41,45,37,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__GWC2-73-18,Unassigned
ASV28,80,87,76,90,85,34,77,49,24,46,79,36,28,74,69,66,42,65,64,74,51,72,61,95,88,66,57,101,63,57,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Palsa-187,s__Palsa-187 sp902826605
ASV29,105,78,74,70,117,52,73,94,69,52,42,35,55,56,40,78,49,56,53,61,55,43,62,78,69,61,71,61,52,58,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__PSRF01,s__PSRF01 sp002427845
ASV30,55,27,53,82,60,50,46,68,40,31,37,51,17,40,12,31,43,24,132,101,89,96,94,84,33,89,43,59,92,44,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,Unassigned,Unassigned
ASV31,91,82,35,46,37,63,59,99,60,50,37,61,34,66,83,44,60,61,48,37,23,32,61,51,64,50,70,29,68,30,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__CSP1-6,g__UBA12499,s__UBA12499 sp001788395
ASV32,65,81,56,90,54,60,55,65,57,41,53,55,52,44,34,43,57,57,62,42,24,27,52,55,46,60,49,60,51,47,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__PSRF01,s__PSRF01 sp002427845
ASV33,30,76,57,56,49,49,38,48,33,41,25,40,38,51,54,67,46,38,38,43,28,30,41,21,84,90,80,64,100,85,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,Unassigned
ASV34,32,60,35,26,26,26,0,47,0,37,30,22,17,58,26,75,42,32,89,92,43,61,22,75,107,102,72,88,69,48,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,Unassigned,Unassigned
ASV35,55,46,46,70,48,73,65,86,67,31,39,76,51,25,47,54,63,65,23,28,17,21,57,11,52,72,60,50,57,58,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__CSP1-6,g__UBA12499,s__UBA12499 sp001788395
ASV36,55,36,55,47,55,45,42,42,27,27,78,35,61,36,13,60,28,31,89,78,89,73,102,56,13,50,50,26,67,50,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium_483265,Unassigned
