,CMA1,CMA2,CMA3,CMA4,CK1,CK2,CK3,CK4,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,17898,5017,10790,0,0,0,0,1081,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV2,0,3257,2303,14379,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV3,0,0,0,0,0,0,20343,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV4,0,0,0,0,0,0,18538,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV5,0,0,845,3325,7521,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV6,0,2350,2178,7856,0,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV7,0,0,0,0,5120,0,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV8,0,0,0,0,396,5988,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV9,0,0,0,31,4337,323,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,Unassigned
ASV10,0,0,0,0,0,0,0,4592,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00090
ASV11,0,0,0,0,4225,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00143
ASV12,0,0,0,0,0,5224,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00143
ASV13,2019,0,0,1062,538,0,0,88,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,Unassigned,Unassigned,Unassigned
ASV14,1741,0,0,1784,0,0,0,108,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV15,0,0,0,2541,934,0,0,0,k__Fungi,p__Mucoromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__VTX00281
ASV16,0,0,0,1561,0,0,0,2009,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,Unassigned
ASV17,1243,1542,1769,0,0,0,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00363
ASV18,0,0,0,0,0,0,0,3419,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV19,0,0,0,0,0,0,0,3326,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00264
ASV20,599,0,0,0,0,3539,0,63,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV21,0,0,0,0,0,0,0,3170,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV22,0,0,0,0,0,0,0,3196,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV23,0,0,0,0,2846,369,0,0,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV24,0,0,0,0,0,0,0,2922,k__Fungi,p__Mucoromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__VTX00090
ASV25,0,0,0,0,0,0,0,2815,k__Fungi,p__Mucoromycota,c__Glomeromycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV26,0,0,0,0,1759,1452,0,0,k__Fungi,p__Mucoromycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
