,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R5_1,R5_2,R5_3,R5_4,R5_5,R5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,21463,18685,18490,22598,18157,18921,23346,18389,18913,17736,665,21926,19656,17341,20684,18467,22195,9726,15239,13328,20616,18829,18888,14177,21123,18362,19906,23129,22612,3772,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV2,0,0,0,0,0,124,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,6,0,0,115,35,220,9,20,16728,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Itersonilia,s__Itersonilia_pannonica;sh__SH0217375.09FU
ASV3,632,1017,809,155,553,903,162,1056,651,1103,1112,270,803,317,591,537,479,1387,696,177,310,209,347,556,0,8,10,0,0,14,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Thermoascaceae,g__Thermoascus,s__Thermoascus_aurantiacus;sh__SH0136211.09FU
ASV4,353,393,366,328,800,928,172,361,671,666,1416,646,219,274,453,738,369,657,394,192,134,175,190,143,0,0,0,0,4,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Thermomyces,s__Thermomyces_lanuginosus;sh__SH0217367.09FU
ASV5,535,594,507,0,215,0,198,344,432,324,356,193,264,1548,195,175,331,1183,272,114,159,53,233,122,12,0,8,0,0,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV6,0,0,0,0,0,0,209,98,0,0,0,0,771,0,0,0,0,0,3169,1323,283,597,0,384,154,237,22,426,155,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Helotiales_gen_Incertae_sedis,s__Helotiales_sp;sh__SH0159647.09FU
ASV7,0,59,0,0,0,0,0,59,0,0,5746,0,0,0,0,39,0,94,0,12,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Wallemiomycetes,o__Wallemiales,f__Wallemiaceae,g__Wallemia,s__Wallemia_muriae;sh__SH0038649.09FU
ASV8,24,44,60,53,295,419,0,0,73,54,850,59,0,529,0,0,47,102,363,3446,17,0,44,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Bisifusarium,Unassigned
ASV9,128,75,48,30,208,176,40,73,498,93,618,0,139,306,205,487,166,582,52,37,264,108,107,101,51,19,63,13,83,32,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV10,92,675,152,190,484,79,12,259,61,470,284,67,0,59,198,192,29,210,134,49,315,179,24,174,24,21,7,12,65,60,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0107419.09FU
ASV11,0,0,0,0,0,0,140,0,0,46,0,0,230,0,0,0,0,0,0,73,0,135,145,2795,111,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Helotiales_gen_Incertae_sedis,s__Helotiales_sp;sh__SH0159647.09FU
ASV12,52,131,0,93,177,74,70,340,157,94,289,223,191,172,235,74,55,0,200,117,230,117,152,66,49,45,52,38,116,98,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV13,186,37,0,0,44,0,20,0,0,69,0,172,72,0,83,0,177,159,79,26,33,48,0,20,411,355,778,69,490,121,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae,g__Cystofilobasidium,s__Cystofilobasidium_macerans;sh__SH0228764.09FU
ASV14,0,0,0,0,392,39,0,0,0,0,0,0,562,625,110,1209,110,341,48,0,0,14,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__Thanatephorus_sp;sh__SH0172220.09FU
ASV15,0,0,0,8,42,113,46,112,167,96,96,0,524,320,80,0,0,150,118,50,0,40,0,29,508,359,165,96,112,14,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082619.09FU
ASV16,90,0,0,47,30,0,15,75,0,0,0,0,58,115,256,0,22,216,52,55,13,0,0,39,34,35,48,0,32,1554,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV17,0,178,85,54,47,350,10,95,0,0,126,0,0,484,0,153,0,374,394,477,6,0,0,22,18,0,0,0,0,3,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Sclerotiniaceae,g__Botrytis,s__Botrytis_caroliniana;sh__SH0053135.09FU
