,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S3_1,S3_2,S3_3,S3_4,S3_5,S3_6,S4_1,S4_2,S4_3,S4_4,S4_5,S4_6,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,3610,13765,12960,6176,7456,10086,7334,6634,6061,4969,5607,10217,9773,12859,7930,8560,12769,17320,10278,15488,10971,12249,13070,14686,9577,16699,14478,19907,15353,13129,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082619.09FU
ASV2,828,1476,1020,900,1208,1633,386,185,557,518,962,835,1214,1062,452,1478,887,1240,955,1245,748,1539,2133,707,1386,1078,309,1175,1170,1030,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082642.09FU
ASV3,141,1552,1419,912,793,1307,745,1173,989,1091,1075,1689,822,554,593,1022,840,475,1433,557,474,631,680,774,571,441,2276,378,829,482,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0232076.09FU
ASV4,321,394,528,1199,557,434,624,725,341,158,636,325,377,779,671,367,791,1600,2904,642,720,492,340,416,534,744,563,440,661,842,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp;sh__SH0082619.09FU
ASV5,0,1173,0,901,70,0,170,1206,422,418,358,539,1233,418,67,2622,568,190,413,449,406,941,460,334,256,404,57,271,469,634,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
ASV6,0,80,0,26,248,34,1636,1126,906,2274,671,3520,302,285,734,53,46,304,112,33,77,61,133,20,0,0,7,5,8,231,k__Fungi,p__Rozellomycota,c__Rozellomycota_cls_Incertae_sedis,o__Rozellomycota_ord_Incertae_sedis,f__Rozellomycota_fam_Incertae_sedis,g__Rozellomycota_gen_Incertae_sedis,s__Rozellomycota_sp
ASV7,0,0,41,78,0,27,4819,5278,2491,1575,604,73,69,50,0,641,93,12,89,14,7,41,6,11,5,0,0,12,0,37,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Saccharomycetales_gen_Incertae_sedis,s__Saccharomycetales_sp;sh__SH0104247.09FU
ASV8,0,479,221,126,591,452,109,457,97,316,294,195,154,361,1026,397,62,81,235,332,2960,351,305,70,80,95,33,39,74,1650,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV9,0,212,0,308,142,1928,403,189,1213,455,185,190,108,2535,34,285,40,205,0,78,3,235,29,320,162,255,160,54,552,6,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,Unassigned,Unassigned
ASV10,0,22,1377,49,791,3222,0,0,0,0,0,0,0,174,264,68,70,33,37,53,4,0,6,1567,1374,68,389,38,518,21,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Bolbitiaceae_gen_Incertae_sedis,s__Bolbitiaceae_sp;sh__SH0195821.09FU
ASV11,207,186,297,114,486,150,171,187,365,365,432,170,576,114,902,164,489,81,49,42,67,74,45,674,320,761,84,1471,332,71,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0125578.09FU
ASV12,0,207,367,395,256,332,377,182,424,239,362,389,550,266,288,445,329,145,127,217,209,91,236,556,241,310,517,230,560,108,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV13,0,260,379,225,219,211,160,330,773,487,493,590,601,79,106,329,359,139,399,331,403,329,400,120,122,141,145,105,246,385,k__Fungi,p__Basidiomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV14,100,76,161,78,219,322,331,753,249,149,288,231,166,908,1369,96,71,129,135,375,25,84,138,145,629,64,780,28,107,134,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS10,f__GS10_fam_Incertae_sedis,g__GS10_gen_Incertae_sedis,s__GS10_sp;sh__SH0037311.09FU
ASV15,0,0,0,0,0,0,1802,112,0,212,507,20,0,28,16,0,0,0,0,0,5,19,0,361,2527,1391,331,1314,505,0,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Rhizophydiales_gen_Incertae_sedis,s__Rhizophydiales_sp;sh__SH0119470.09FU
ASV16,106,37,73,141,3867,211,52,92,53,78,69,107,128,205,94,240,235,124,73,129,671,54,71,166,67,70,318,31,45,319,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0136622.09FU
ASV17,0,649,434,147,491,44,17,221,322,376,504,180,568,64,290,314,284,167,115,323,232,314,306,300,146,94,354,105,372,134,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_nigrescens;sh__SH0202581.09FU
ASV18,0,112,90,0,252,60,102,107,212,365,171,180,369,38,108,97,135,112,323,458,599,218,1552,160,319,136,404,167,427,417,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_subarcticum;sh__SH0001958.09FU
ASV19,0,371,0,162,0,9,313,70,0,193,94,67,105,779,3724,39,346,13,90,54,43,263,61,148,47,65,0,47,105,84,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
ASV20,0,173,77,98,74,61,322,1462,2255,495,139,158,221,11,41,102,27,42,109,95,90,171,78,90,257,83,414,38,115,41,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariomycetes_ord_Incertae_sedis,f__Sordariomycetes_fam_Incertae_sedis,g__Sordariomycetes_gen_Incertae_sedis,s__Sordariomycetes_sp;sh__SH0012655.09FU
ASV21,123,210,83,26,422,140,127,215,524,399,330,285,351,114,250,227,145,76,225,152,365,404,270,64,49,40,104,38,73,442,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,Unassigned
ASV22,0,126,276,162,458,48,106,206,390,274,237,159,371,172,187,303,152,87,105,101,263,207,63,276,389,144,296,111,210,211,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
ASV23,0,143,325,551,0,0,212,97,21,16,46,37,152,430,987,202,214,456,362,405,82,388,285,91,224,0,0,0,52,140,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__Paraglomus_laccatum;sh__SH0011487.09FU
ASV24,0,2,0,4,20,0,27,7,0,26,29,10,6,5,0,16,0,8,845,567,1262,808,975,5,11,4,0,0,6,858,k__Fungi,p__Rozellomycota,c__Rozellomycota_cls_Incertae_sedis,o__Rozellomycota_ord_Incertae_sedis,f__Rozellomycota_fam_Incertae_sedis,g__Rozellomycota_gen_Incertae_sedis,s__Rozellomycota_sp;sh__SH0183275.09FU
ASV25,0,49,16,0,95,0,402,79,0,20,0,0,7,14,7,2466,0,5,806,680,32,172,131,159,17,0,0,4,20,263,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetales_fam_Incertae_sedis,g__Spizellomycetales_gen_Incertae_sedis,s__Spizellomycetales_sp;sh__SH0184213.09FU
ASV26,730,272,373,152,189,187,197,477,290,480,59,40,158,85,83,149,45,101,34,97,55,203,34,90,54,77,147,48,50,78,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__Plectosphaerella_cucumerina;sh__SH0105366.09FU
